name,location,start_date,end_date,surface,indoor_outdoor,winner,results_url,source,source_page
Mziuri Cup,"Tbilisi, Georgia",19,"May 24, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/tbilisi/2925/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
UAMS Health Little Rock Open,"Little Rock, United States",26 May,"June 1, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/little-rock/9188/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Internazionali Di Tennis - Citta'Di Vicenza,"Vicenza, Italy",26 May,"June 1, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/vicenza/7015/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Moldova Open,"Chisinau, Moldova",26 May,"June 1, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/chisinau/2993/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lexus Birmingham Open,"Birmingham, Great Britain",2,"June 8, 2025",Grass,Outdoor,,https://www.atptour.com/en/scores/archive/birmingham/4940/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Neckarcup 2.0,"Heilbronn - Bad Rappenau, Germany",2,"June 8, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/heilbronn---bad-rappenau/460/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Unicredit Czech Open,"Prostejov, Czechia",2,"June 7, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/prostejov/558/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Texas Spine and Joint Men's Championship,"Tyler, United States",2,"June 8, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/tyler/2873/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Internazionali di Tennis Città di Perugia | G.I.MA. Tennis Cup,"Perugia, Italy",9,"June 15, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/perugia/9001/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lexus Ilkley Open,"Ilkley, Great Britain",9,"June 15, 2025",Grass,Outdoor,,https://www.atptour.com/en/scores/archive/ilkley/9005/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
